ax,ay,az,gx,gy,gz
875,243,1979,-185,-559,-273
980,280,2147,-587,-362,-755
1032,281,-2332,-693,711,-629
1130,179,-2176,-434,1086,-278
1183,218,-1985,-195,714,-68
1286,180,-1890,-331,2,-156
1388,161,-1681,-394,-280,23
1531,131,-1560,-486,-634,-202
1647,144,-1366,-457,-185,-15
1791,119,-1175,-417,-1396,110
1963,212,-1082,800,-1508,408
2170,177,-887,586,-898,853
-2316,191,-812,467,-522,654
-2097,169,-795,-593,-381,-350
-1942,203,-647,-388,197,-205
-1822,108,-512,-1432,1560,-499
-1734,83,-438,-674,-2327,-297
-1659,48,-376,-438,-2263,-231
-1591,39,-305,-221,-2009,-90
-1504,36,-213,-585,1084,-250
-1331,2,-293,-668,767,-292
-1177,0,-339,25,-2157,-94
-1147,10,-189,183,-1136,79
-1109,0,-100,127,-1912,-13
-1027,15,0,311,1037,41
-844,29,-48,334,3,23
-619,28,-172,-224,277,-60
-485,7,-94,-19,1665,-56
-385,27,-54,72,-2172,-38
-299,56,-89,-238,-1661,-97
-239,-12,-37,-1252,-1619,-37
-170,-49,-170,74,-285,135
-193,5,31,477,-468,108
-201,-54,133,185,-2172,-217
-32,-31,-198,450,-555,-20
-79,-4,40,-41,-62,-23
-78,12,58,-536,-304,14
-43,-35,-30,-59,-88,-12
-28,-25,-43,-44,-388,-16
-32,-32,-2,-30,-73,-4
-37,-30,6,2,85,6
-45,-32,9,-18,133,4
-46,-30,-15,9,-48,-6
-32,-30,-17,1,-37,-1
-31,-22,-47,4,253,17
-66,-30,-56,12,1733,59
-164,-38,151,-47,346,23
-118,-30,-57,-21,183,-19
-153,-27,-16,21,489,30
-176,-29,-42,0,966,-2
-233,-33,-73,16,2222,57
-336,-27,-50,58,-2232,39
-429,-52,-72,-257,-2285,23
-543,-59,-95,-193,-1333,23
-699,-61,-88,-2,-842,64
-844,-57,-154,-241,-913,2
-1009,-62,-196,-411,-362,-84
-1186,-88,-243,-442,13,-71
-1390,-102,-244,-231,344,-24
-1557,-126,-321,-1092,-605,-421
-1679,-181,-430,-622,-1273,-254
-1817,-179,-482,-83,-829,-31
-1946,-228,-628,-529,-208,-406
-2151,-179,-687,83,861,-132
-2327,-199,-818,394,1126,122
2163,-183,-937,485,845,158
1990,-169,-975,258,-325,36
1899,-159,-1224,266,-494,10
1758,-168,-1234,140,-737,32
1675,-150,-1454,231,-614,54
1552,-141,-1566,189,-154,32
1425,-129,-1645,236,-486,40
1349,-144,-1801,153,-1062,45
1255,-144,-1883,210,-1080,48
1206,-112,-2119,269,-931,47
1107,-51,-2249,421,-123,543
1028,-119,2291,187,-6,260
936,-78,2154,-96,-308,-64
