time,x,y,z
17:10:19.527 ->,1,1095,-7909
17:10:19.660 ->,-201,1078,-7906
17:10:19.792 ->,-143,880,-7897
17:10:19.925 ->,256,-4,-8268
17:10:20.058 ->,160,-788,-8445
17:10:20.191 ->,247,-703,-8424
17:10:20.324 ->,-434,-1103,-8367
17:10:20.457 ->,-219,-1079,-8408
17:10:20.589 ->,100,-361,-8296
17:10:20.722 ->,90,620,-8057
17:10:20.855 ->,-46,34,-8159
17:10:20.987 ->,-23,40,-8214
17:10:21.120 ->,66,-69,-8234
17:10:21.253 ->,-42,32,-8154
17:10:21.386 ->,59,21,-8243
17:10:21.519 ->,19,-6,-8149
17:10:21.618 ->,-60,-65,-8162
17:10:21.750 ->,-2,-76,-8139
17:10:21.884 ->,13,-13,-8145
17:10:22.017 ->,-4,3,-8223
17:10:22.149 ->,-2,-30,-8185
17:10:22.282 ->,-80,-136,-8191
